atom     X          Y          Z
Ar  -2.301078  -2.693340   1.430276
Ar   1.540594  -2.766076   0.528245
Ar   0.883139  -2.697120   2.179484
Ar   2.739126  -0.999716  -0.186637
Ar   0.493705  -1.531917   2.364061
Ar  -1.655311   1.398096  -0.308256
Ar  -1.041663  -1.890985  -0.198054
Ar   0.548621   2.722174   1.072980
Ar   2.471180   0.081233   0.660271
Ar   0.715085  -0.978687   0.992459
Ar  -1.203061   2.260657  -0.032773
Ar  -2.308633   0.625691   2.130110
Ar  -0.969958   1.492598  -2.136252
Ar   0.747538  -1.470343  -0.203037
Ar   2.250748   0.240573   1.786189
Ar  -0.829797   0.088818   1.711396
Ar   0.275049   0.846654   1.974630
Ar   1.992451  -0.928943   1.364371
Ar   1.380325   0.449225  -1.655836
Ar   0.892721   0.355610  -0.401689
Ar   2.526667  -2.381117   0.768230
Ar  -0.528233  -1.031834   0.604937
Ar  -2.370390  -1.787717  -0.961000
Ar  -1.391093   2.571154   2.041848
Ar   2.667298   2.718593  -2.805148
Ar   2.530078   1.138557   1.123844
Ar   0.347929  -0.600627   2.089007
Ar  -0.407997   1.046782   1.151407
Ar  -1.628413   2.477132  -2.465352
Ar  -1.176003  -2.232489   0.784293
Ar   2.499756   1.643082  -1.153315
Ar  -1.280015   0.641425  -2.761477
Ar   1.761675  -1.666903   0.115954
Ar  -1.357854  -1.870124   1.870915
Ar   0.379280   0.939429  -1.316909
Ar   2.245623   0.263055  -0.405471
Ar  -2.693581  -1.871157  -2.740539
Ar  -1.453962  -2.601648  -0.940861
Ar  -1.845332   1.779142   1.013874
Ar   1.025149   0.531529   2.641572
Ar  -2.085653   1.468286   2.767600
Ar   1.497506  -1.709666   2.464515
Ar  -2.244887  -0.195701  -0.476244
Ar  -1.128801   0.039462  -0.967052
Ar   1.342776  -0.531546   0.065012
Ar   2.462378   1.294826   0.067741
Ar   0.725402  -2.529294  -1.354494
Ar   2.264880  -0.448752  -1.781193
Ar   1.974086   2.649262  -1.819074
Ar   1.784730  -1.000466  -0.986008
Ar  -0.337118   0.402585  -1.842102
Ar  -1.671360  -0.990374  -0.913571
Ar   1.536644  -2.050224  -1.944655
Ar   0.889548   1.622345   2.683346
Ar  -2.521619  -0.366166   1.499410
Ar  -2.569533  -2.505671  -1.806641
Ar   1.559971   1.178606   0.527956
Ar   0.136035   2.260626  -1.283043
Ar   1.240703  -2.136832   1.328837
Ar  -1.764628  -1.251012  -2.707200
Ar  -0.682606  -0.936515   2.220095
Ar   1.402840  -0.779633  -2.400854
Ar  -1.687562  -1.979083  -1.966958
Ar   1.061581   2.702054  -2.469329
Ar  -1.447725  -0.636310   1.109061
Ar   2.796077   1.817398  -2.108588
Ar   2.205680  -2.568806   1.753349
Ar   0.375368  -1.914483  -2.340029
Ar   0.219840   1.915656   1.797851
Ar   1.050663   1.964800   0.248027
Ar   1.949051   0.325154  -2.585707
Ar   1.876493   1.767737   1.962775
Ar  -0.655791   1.277730   2.139626
Ar   1.180078   2.106111  -1.420270
Ar  -0.091177   2.308171  -0.122375
Ar  -2.726018  -1.079237   2.154848
Ar  -1.543107  -0.277394  -1.920185
Ar  -0.578225  -0.796375  -0.566710
Ar  -2.773670   1.995291   1.752865
Ar   0.429690   0.917159   0.563871
Ar  -2.544227  -1.389898   0.775526
Ar   0.848106  -1.399160  -1.321485
Ar  -0.455757   1.170503   0.042777
Ar  -0.382399   2.598637  -2.216481
Ar  -0.206402  -2.160719  -0.956692
Ar  -0.787936  -1.075363  -1.578741
Ar   0.566842   0.000206  -2.117572
Ar  -2.622046  -0.098474  -2.524792
Ar   0.223022  -0.143292   0.265673
Ar   0.151582  -0.936253  -2.073853
Ar  -0.297411  -2.422798   2.358607
Ar   0.089810  -2.166609   0.133366
Ar  -1.631385  -0.304461   2.234378
Ar  -2.164021   0.730219   0.708758
Ar   0.804954  -0.286956  -1.128442
Ar   2.637328   0.632878  -1.291468
Ar   1.766813   1.751546  -2.326396
Ar  -2.729474  -2.598813  -0.274253
Ar   2.332287   2.270460   0.996354
Ar   1.819453   2.318775  -0.377278
Ar   1.630552   1.167687  -0.786881
Ar   2.068506  -2.214889  -1.083304
Ar  -0.106356  -1.803456   1.442451
Ar  -0.693004   2.174927   0.989918
Ar   1.493909  -0.425486   2.264993
Ar   1.192037   0.737907   1.493362
Ar  -0.047471   1.768371  -2.751517
Ar   2.587562  -1.496346  -1.848197
