ntraial move_ratio     potn
108     0.9629  -4.169577

216     0.7870  -4.117957

324     0.6759  -4.099771

432     0.6481  -4.036042

540        0.5  -3.979105

648     0.5462  -3.942603

756     0.6388  -3.971508

864     0.4259  -4.011587

972        0.5  -3.969815

1080     0.5185  -3.898512

1188     0.5185  -3.932559

1296     0.4444  -4.002326

1404     0.5370  -4.036133

1512     0.5277  -4.009618

1620     0.4907  -3.988008

1728     0.4629  -4.039051

1836     0.5277  -4.039210

1944     0.6388  -4.011066

2052     0.5370  -3.896344

2160     0.5185  -3.960098

2268     0.4629  -3.962597

2376     0.4629  -3.881766

2484     0.4907  -3.853066

2592     0.5277  -3.893945

2700     0.6018  -3.830202

2808     0.4166  -3.836315

2916     0.4629  -3.842394

3024     0.5648  -3.831551

3132     0.5555  -3.835270

3240     0.5555  -3.827091

3348     0.4166  -3.849009

3456     0.4537  -3.839249

3564     0.4351  -3.789898

3672     0.5370  -3.710946

3780     0.3981  -3.730317

3888     0.4814  -3.746446

3996     0.4907  -3.644909

4104     0.5185  -3.865657

4212     0.4907  -3.906729

4320     0.4722  -3.856584

4428     0.4444  -3.856277

4536     0.4722  -3.884412

4644     0.5462  -3.861514

4752     0.5092  -3.802824

4860        0.5  -3.912977

4968     0.5648  -3.863313

5076     0.5462  -3.930989

5184     0.4444  -3.934913

5292     0.5185  -3.975799

5400     0.5648  -3.976661

5508     0.5092  -3.902840

5616     0.4722  -3.878363

5724     0.5555  -3.893241

5832     0.4351  -3.900610

5940     0.4259  -3.862531

6048     0.5370  -3.887494

6156     0.5277  -3.905855

6264     0.5648  -3.836726

6372     0.5092  -3.840806

6480     0.4722  -3.789976

6588     0.3611  -3.769703

6696     0.5555  -3.745438

6804     0.5925  -3.698129

6912     0.4722  -3.849867

7020     0.5648  -3.807667

7128     0.4814  -3.833110

7236     0.4537  -3.785463

7344     0.3796  -3.815628

7452     0.4629  -3.889389

7560     0.4629  -3.873903

7668     0.4351  -3.850909

7776     0.5370  -3.866354

7884     0.5092  -3.868098

7992     0.4907  -3.868769

8100     0.5370  -3.889563

8208        0.5  -3.872703

8316     0.6018  -3.922028

8424     0.4907  -3.860033

8532     0.5185  -3.851116

8640     0.5277  -3.832589

8748     0.5185  -3.908937

8856     0.5092  -3.888457

8964     0.4722  -3.920015

9072     0.4629  -3.947966

9180     0.5185  -3.879566

9288     0.4259  -3.913557

9396     0.4814  -3.902218

9504     0.5370  -3.830574

9612        0.5  -3.833689

9720     0.4537  -3.783774

9828     0.4074  -3.799007

9936     0.4722  -3.830653

10044     0.5277  -3.897742

10152     0.4814  -3.893389

10260     0.4722  -3.892462

10368     0.5740  -3.914285

10476     0.4629  -3.956610

10584     0.4722  -3.914753

10692     0.4259  -3.895461

10800     0.4722  -3.942617

10908     0.5462  -3.910572

11016     0.5277  -4.026962

11124     0.5092  -3.910073

11232     0.5833  -3.933301

11340     0.5555  -3.897796

11448     0.5370  -3.886786

11556     0.4814  -3.799956

11664     0.4537  -3.840203

11772     0.3796  -3.794015

11880     0.5185  -3.806408

11988     0.5277  -3.835008

12096     0.5277  -3.802255

12204     0.5185  -3.838087

12312     0.4166  -3.774117

12420     0.5185  -3.792150

12528        0.5  -3.829418

12636     0.4537  -3.778739

12744     0.5277  -3.807896

12852     0.5370  -3.813697

12960     0.5370  -3.862483

13068     0.5462  -3.840748

13176     0.6203  -3.844660

13284     0.4722  -3.916855

13392     0.4166  -3.826034

13500     0.5462  -3.908118

13608     0.5648  -3.861631

13716     0.5185  -3.867395

13824     0.5092  -3.865411

13932     0.5648  -3.857841

14040     0.5277  -3.913859

14148     0.5185  -3.999499

14256     0.4537  -3.889520

14364     0.4629  -3.872241

14472     0.3425  -3.807332

14580     0.5555  -3.813786

14688     0.5833  -3.767038

14796        0.5  -3.845479

14904     0.5092  -3.859270

15012     0.4166  -3.886212

15120     0.4537  -3.893332

15228     0.4166  -3.903814

15336     0.4351  -3.924540

15444     0.5925  -3.927643

15552     0.4537  -3.905597

15660     0.5370  -3.890254

15768     0.4444  -3.884571

15876     0.4722  -3.842353

15984     0.5277  -3.823778

16092     0.5185  -3.759000

16200     0.5277  -3.791707

16308     0.5185  -3.778712

16416        0.5  -3.858550

16524     0.5648  -3.859821

16632     0.4537  -3.877328

